Time_Of_Day_ID,Time_Of_Day,Sky_Light_Category
0,Early Morning,Darkness
1,Early Morning,Darkness
2,Early Morning,Darkness
3,Early Morning,Darkness
4,Early Morning,Darkness
5,Early Morning,Darkness
6,Early Morning,Darkness
7,Morning,Daylight
8,Morning,Daylight
9,Morning,Daylight
10,Morning,Daylight
11,Morning,Daylight
12,Afternoon,Daylight
13,Afternoon,Daylight
14,Afternoon,Daylight
15,Afternoon,Daylight
16,Afternoon,Daylight
17,Evening,Daylight
18,Evening,Daylight
19,Evening,Darkness
20,Night,Darkness
21,Night,Darkness
22,Night,Darkness
23,Night,Darkness
